#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  4.33365154  0.480366796  0.463255137  0.526026428
  4.34968376  0.479480714  0.462625802  0.525112271
  4.36571598  0.478599519  0.46199742  0.524199128
  4.3817482  0.477723122  0.461370081  0.523287594
  4.39778042  0.476851583  0.460743845  0.522377431
  4.41381264  0.475984782  0.460118651  0.521467507
  4.42984486  0.47512266  0.459494472  0.520558953
  4.44587708  0.474265218  0.458871424  0.51965189
  4.46190929  0.473412395  0.45824945  0.518746138
  4.47794151  0.472564191  0.457628667  0.517841399
  4.49397373  0.471720487  0.457008898  0.516937792
  4.51000595  0.470881283  0.456390321  0.516036272
  4.52603817  0.47004658  0.455772877  0.515135467
  4.54207039  0.469216257  0.455156595  0.514236569
  4.55810261  0.468390346  0.454541504  0.513338923
  4.57413483  0.467568815  0.453927577  0.512443423
  4.59016705  0.466751546  0.453314841  0.51154846
  4.60619926  0.465938509  0.452703238  0.510655344
  4.62223148  0.465129763  0.452092916  0.509763539
  4.6382637  0.464325219  0.451483816  0.50887394
  4.65429592  0.463524818  0.450875938  0.507985771
  4.67032814  0.46272856  0.450269282  0.507099092
  4.68636036  0.461936355  0.449663848  0.50621444
  4.70239258  0.461148232  0.449059695  0.505331039
  4.7184248  0.460364133  0.448456764  0.504449546
  4.73445702  0.459584028  0.447855145  0.503570139
  4.75048923  0.458807856  0.447254807  0.502691686
  4.76652145  0.458035618  0.44665572  0.501816213
  4.78255367  0.457267195  0.446057886  0.500941634
  4.79858589  0.456502706  0.445461392  0.500069439
  4.81461811  0.455742002  0.44486618  0.499199003
  4.83065033  0.454985112  0.44427231  0.498329997
  4.84668255  0.454231977  0.44367975  0.497463644
  4.86271477  0.453482598  0.443088561  0.496598542
  4.87874699  0.452736855  0.442498595  0.495736003
  4.89477921  0.451994807  0.441909999  0.494874746
  4.91081142  0.451256394  0.441322744  0.494016409
  4.92684364  0.450521559  0.4407368  0.493159562
  4.94287586  0.449790359  0.440152258  0.492304981
  4.95890808  0.449062705  0.439569086  0.491452575
  4.9749403  0.448338538  0.438987195  0.490601242
  4.99097252  0.447617888  0.438406706  0.489753455
  5.00700474  0.446900666  0.437827557  0.488906622
  5.02303696  0.4461869  0.43724981  0.48806271
  5.03906918  0.445476532  0.436673403  0.487220734
  5.05510139  0.444769591  0.436098397  0.486380249
  5.07113361  0.444065928  0.435524732  0.485542417
  5.08716583  0.443365663  0.434952497  0.484707117
  5.10319805  0.442668706  0.434381664  0.483873039
  5.11923027  0.441974968  0.433812141  0.483041942
  5.13526249  0.441284478  0.43324402  0.482212871
  5.15129471  0.440597266  0.432677358  0.481386095
  5.16732693  0.439913243  0.432112068  0.480561316
  5.18335915  0.439232409  0.431548178  0.479739249
  5.19939137  0.438554674  0.430985659  0.478919148
  5.21542358  0.437880069  0.430424541  0.478101224
  5.2314558  0.437208623  0.429864854  0.477286279
  5.24748802  0.436540246  0.429306597  0.47647199
  5.26352024  0.435874879  0.428749681  0.475661159
  5.27955246  0.435212612  0.428194255  0.474852353
  5.29558468  0.434553295  0.42764017  0.474046677
  5.3116169  0.433896959  0.427087486  0.473242044
  5.32764912  0.433243632  0.426536292  0.472440213
  5.34368134  0.432593226  0.425986439  0.471640915
  5.35971355  0.431945771  0.425438076  0.47084406
  5.37574577  0.431301177  0.424891114  0.470049798
  5.39177799  0.430659443  0.424345493  0.469257623
  5.40781021  0.430020601  0.423801333  0.468467087
  5.42384243  0.429384619  0.423258662  0.46767962
  5.43987465  0.428751409  0.422717303  0.466894776
  5.45590687  0.428121001  0.422177434  0.466111749
  5.47193909  0.427493364  0.421638936  0.465330571
  5.48797131  0.426868469  0.421101868  0.464552432
  5.50400352  0.426246345  0.420566231  0.463777512
  5.52003574  0.425626904  0.420032024  0.463004649
  5.53606796  0.425010145  0.419499189  0.462233514
  5.55210018  0.424396098  0.418967843  0.461464524
  5.5681324  0.423784673  0.418437839  0.460698485
  5.58416462  0.423175901  0.417909294  0.459934711
  5.60019684  0.422569722  0.417382121  0.459172666
