#
# Quasi-periodic asteroid orbit integration for Fig 3.4 of Ryden Celestial and Stellar Dynamics
#
# tMax = 300.0 in units where 1 year = 2*pi
# numPj = 500 number of Jupiter orbits
# numSteps = 1000
# random seed = 12345
# a_init: 3.6129 au
# e_init: 0.2065
# i_init: 0-deg
#
t/PJ  a/aJ               ecc
 71.0 0.6805627145364904 0.2522633557580136
 71.5 0.6956246635742085 0.2180439938934387
 72.0 0.6994070116430371 0.2179497636499729
 72.5 0.6927412874977525 0.2150011132213551
 73.0 0.6962478172165444 0.2144408226525067
 73.5 0.6973658880972990 0.2157953355236130
 74.0 0.6907777423807765 0.2320851157628666
 74.5 0.6895498725205044 0.2371837377569734
 75.0 0.6847528375641656 0.2364088824606410
 75.5 0.6898160275485727 0.2228911838076792
 76.0 0.6971952041907853 0.2248320225512783
 76.5 0.6905579623060499 0.2243201432034274
 77.0 0.6911935352040418 0.2250706045239215
 77.5 0.6939023496190005 0.2250530756568062
 78.0 0.6905427452729550 0.2412633431337950
 78.5 0.6792267860414820 0.2608227077744005
 79.0 0.6747165001715524 0.2591913512349222
 79.5 0.6792953451271255 0.2478083099409797
 80.0 0.6867262521220423 0.2500853725917350
 80.5 0.6794265479671041 0.2481789410140708
 81.0 0.6822835012789185 0.2471811172225851
 81.5 0.6830967269014410 0.2487466283006252
 82.0 0.6773228416110527 0.2591018910772181
 82.5 0.6797323918730993 0.2589647744306429
 83.0 0.6768374247128266 0.2615248726275510
 83.5 0.6930359861331465 0.2249643379183863
 84.0 0.6962358883941804 0.2246216183181301
 84.5 0.6899859113321138 0.2211136511856812
 85.0 0.6942257081156392 0.2201767211479254
 85.5 0.6944979748094826 0.2219787470201788
 86.0 0.6883962393492019 0.2343291227310253
 86.5 0.6902410520003360 0.2354610039503998
 87.0 0.6853207527594115 0.2358826360641063
 87.5 0.6939977531992605 0.2158909857872404
 88.0 0.7004943691868845 0.2172822199880475
 88.5 0.6936109392500733 0.2161492029760620
 89.0 0.6948565852471009 0.2164953318086122
 89.5 0.6974465400710281 0.2165525772196577
 90.0 0.6948881476887433 0.2315249964671058
 90.5 0.6827275040472622 0.2530415244031698
 91.0 0.6785074108024987 0.2506526579443837
 91.5 0.6809534544882865 0.2399112897462264
 92.0 0.6891820482702959 0.2426998976001448
 92.5 0.6828471074897283 0.2426444504084932
 93.0 0.6841079501676202 0.2422549023427376
 93.5 0.6860110404477939 0.2427391076781052
 94.0 0.6796136219125390 0.2565902140152434
 94.5 0.6792591858103846 0.2604876634224406
 95.0 0.6746763119356397 0.2612941463603365
 95.5 0.6860722583770684 0.2384817036763377
 96.0 0.6909730681930126 0.2390855974092612
 96.5 0.6839398214485009 0.2357644914467057
 97.0 0.6880155128236499 0.2347305535499233
 97.5 0.6881818154315361 0.2366537149433100
 98.0 0.6826120388062354 0.2467214565449759
 98.5 0.6853114217918593 0.2464567834619217
 99.0 0.6813972812666390 0.2484637413280204
 99.5 0.6956198929935272 0.2165817241291529
100.0 0.7002744298256954 0.2170392669617089
100.5 0.6933906924037055 0.2145323649181546
101.0 0.6963126175062184 0.2138962290543124
101.5 0.6978800770666446 0.2148091463176669
102.0 0.6918628126167413 0.2313601925810320
102.5 0.6885122647376607 0.2397316580022783
103.0 0.6838198513437964 0.2382525470303561
103.5 0.6877664745141560 0.2256409072781868
104.0 0.6955521038173338 0.2279355864953508
104.5 0.6892826652896911 0.2279726006609741
105.0 0.6897355055426018 0.2286127952122317
105.5 0.6924299979748870 0.2284560595376050
106.0 0.6884324512288703 0.2443097495752509
106.5 0.6787695661824512 0.2619233166465218
107.0 0.6741208423542945 0.2603978073468838
107.5 0.6794640554612367 0.2478523119753026
108.0 0.6867216681390845 0.2500594718159120
108.5 0.6794468488921255 0.2479928507894924
109.0 0.6825375724687006 0.2468057868886903
109.5 0.6831673746855828 0.2484291889314128
110.0 0.6776553538924528 0.2580534301013076
110.5 0.6802840414814588 0.2577094087105238
111.0 0.6774330113429100 0.2604261016405877
111.5 0.6938757586433603 0.2226940777371496
112.0 0.6973179908702855 0.2226188279808826
112.5 0.6910531269915662 0.2192128527654671
113.0 0.6951019305084790 0.2179602911013370
113.5 0.6955478192695781 0.2195379305639051
114.0 0.6895029939197360 0.2320049991626314
114.5 0.6909950800031012 0.2338866042910145
115.0 0.6859010817313155 0.2336773292794480
115.5 0.6935295626775060 0.2148065709209080
116.0 0.7005491101195133 0.2165478412274723
116.5 0.6940268548449009 0.2161071215202194
117.0 0.6947541117382207 0.2166591889322068
117.5 0.6975972044642564 0.2163355425153105
118.0 0.6965068110235610 0.2283732753479949
118.5 0.6820598659152849 0.2547109743772957
119.0 0.6782268150388168 0.2517974731573084
119.5 0.6795992847553931 0.2410991695070024
120.0 0.6880454451322382 0.2440106900406434
120.5 0.6822818732952137 0.2447101049835686
121.0 0.6832532844129807 0.2442906979665805
121.5 0.6852402300333625 0.2444889555979486
122.0 0.6791319806847738 0.2573634269806180
122.5 0.6788479211189424 0.2615554112028346
123.0 0.6740438198111740 0.2620940840128514
123.5 0.6860545073884170 0.2375300922691555
124.0 0.6913798384070989 0.2385537592066593
124.5 0.6844362857591237 0.2354980760719494
125.0 0.6882973125162446 0.2340339364835825
125.5 0.6885732007615182 0.2357199014891501
126.0 0.6831413640611250 0.2454529489468600
126.5 0.6858190271083715 0.2454336163796159
127.0 0.6814475229458841 0.2471157404720963
127.5 0.6957022349899994 0.2148471915383552
128.0 0.7009861245397416 0.2157492496449041
128.5 0.6941647765476505 0.2137300710246704
129.0 0.6966776226421747 0.2128853329929536
129.5 0.6985223081342020 0.2133721052472567
130.0 0.6933719494958335 0.2287802209407251
130.5 0.6884214401833203 0.2401770393932223
131.0 0.6839030266735077 0.2379758849025848
131.5 0.6867989683587131 0.2255289588811139
132.0 0.6948822775248172 0.2280597796431032
132.5 0.6892561405135578 0.2289185969649471
133.0 0.6893038670171449 0.2296884708291937
133.5 0.6921522812227457 0.2291639730218535
134.0 0.6890048589867613 0.2428336272002265
134.5 0.6782802003121691 0.2632756547587171
135.0 0.6736238839965760 0.2610933788498399
135.5 0.6783626846792024 0.2480152725365561
136.0 0.6861509846166420 0.2507123684504839
136.5 0.6792727758662773 0.2493755525594482
137.0 0.6820853243879546 0.2478649356607684
137.5 0.6828047723721132 0.2492080181498157
138.0 0.6775033740421268 0.2582683218246715
138.5 0.6801708408442013 0.2580505661858079
139.0 0.6768761100494854 0.2607502517641092
139.5 0.6933458937874628 0.2229464706440991
140.0 0.6973636301974477 0.2234011500462298
140.5 0.6910991189665833 0.2201529186641638
141.0 0.6949837782637682 0.2182828261756832
141.5 0.6954856478407302 0.2195785671541476
142.0 0.6897925878164777 0.2308773215919517
142.5 0.6914930109021091 0.2329784981441023
143.0 0.6861714312049014 0.2322216199449318
143.5 0.6939840618281858 0.2115718031831254
144.0 0.7013222399126574 0.2135891027034866
144.5 0.6952906092889048 0.2138776830408458
145.0 0.6956909068350422 0.2144489316644771
145.5 0.6987443881604117 0.2136977274914695
146.0 0.6981312891629770 0.2225250939512709
146.5 0.6828326428848477 0.2530621354790263
147.0 0.6801486400185933 0.2500645514116221
147.5 0.6799839148213284 0.2397381904082216
148.0 0.6879670864981970 0.2416621746154158
148.5 0.6833616313302660 0.2435197951508602
149.0 0.6834839878158715 0.2436867815242523
149.5 0.6859464202153475 0.2431193543193472
150.0 0.6805967635438478 0.2552905872147094
150.5 0.6781104073578647 0.2637560429419897
151.0 0.6728176825178458 0.2626175036915689
151.5 0.6826632148845478 0.2408837322316337
152.0 0.6894558658313021 0.2430502956614171
152.5 0.6827466978589725 0.2411136970754713
153.0 0.6860906735922553 0.2390725152739438
153.5 0.6865548772850230 0.2403384494936261
154.0 0.6814810512830292 0.2489492657310314
154.5 0.6843182726876073 0.2489690123856991
155.0 0.6797180795824691 0.2506228507555530
155.5 0.6957987996556136 0.2130297222849256
156.0 0.7014135217428396 0.2143404489726013
156.5 0.6949644189249330 0.2127883576967940
157.0 0.6974902904104354 0.2112031238555074
157.5 0.6993082475398237 0.2112987064974313
158.0 0.6946315818979367 0.2241183353086138
158.5 0.6906320603284632 0.2355318843772883
159.0 0.6864347784666184 0.2327764107961162
159.5 0.6887566043084568 0.2196355474307524
160.0 0.6965897109019832 0.2216156639165028
160.5 0.6920467957540534 0.2234877816127276
161.0 0.6912603256689053 0.2250308585467214
161.5 0.6946134790282540 0.2237776512215535
162.0 0.6933096942149305 0.2309957773843975
162.5 0.6783069664780412 0.2635031381639479
163.0 0.6756155328573455 0.2604451273671278
163.5 0.6761245658289035 0.2485562967044346
164.0 0.6842964804284593 0.2506943494867755
164.5 0.6792990647139450 0.2521486676451453
165.0 0.6806122606292283 0.2509279763111964
165.5 0.6821733262564331 0.2509762188930582
166.0 0.6768445183549832 0.2600933710727598
166.5 0.6788161618500045 0.2617769034791088
167.0 0.6737078577761949 0.2626608158585912
167.5 0.6904384290149047 0.2246205481286507
168.0 0.6962832376876790 0.2263666273445001
168.5 0.6901207103261802 0.2245122653066464
169.0 0.6934063130867442 0.2219022181409346
169.5 0.6942786636212924 0.2224577701619700
170.0 0.6890109055209209 0.2322106880492065
170.5 0.6907723200127583 0.2352496702409087
171.0 0.6851679795484594 0.2334062723939808
171.5 0.6936273983911704 0.2096937119628856
172.0 0.7012554895190363 0.2119199568395805
172.5 0.6959468593550365 0.2131058338546231
173.0 0.6961988035361385 0.2134129596431812
173.5 0.6994012540423362 0.2121894015731191
