JDTDB,dateTDB,X,Y,Z,Xearth,Yearth,Zearth
2434849.5,1954-Apr-17,-2.101697992048828E-01,1.030306364154794E+00,9.666638606227114E-04,-8.937759985635452E-01,-4.570894797299870E-01,-5.577821173547959E-05
2434859.5,1954-Apr-27,-3.647487891667471E-01,9.727897094107590E-01,3.585561119817030E-03,-8.056024990040670E-01,-6.035013537062628E-01,-6.990998581825973E-05
2434869.5,1954-May-07,-5.096947004021936E-01,8.896613732712731E-01,6.109585812914771E-03,-6.941061030466525E-01,-7.324497911455470E-01,-8.201493706619598E-05
2434879.5,1954-May-17,-6.406496420206746E-01,7.821762453581679E-01,8.465777290335669E-03,-5.626626056983726E-01,-8.403581457192141E-01,-9.176497794012654E-05
2434889.5,1954-May-27,-7.532768268541828E-01,6.523703116703219E-01,1.057969853652661E-02,-4.151552575548202E-01,-9.242841877345324E-01,-9.890428318189487E-05
2434899.5,1954-Jun-06,-8.434106371900105E-01,5.031343813948211E-01,1.237767071235490E-02,-2.558611281496382E-01,-9.819794981752357E-01,-1.032467755640050E-04
2434909.5,1954-Jun-16,-9.072506403048265E-01,3.382589394743374E-01,1.378975435228639E-02,-8.933454766445489E-02,-1.011930584967136E+00,-1.046813732767425E-04
2434919.5,1954-Jun-26,-9.415958814560648E-01,1.624290023901083E-01,1.475351503740653E-02,7.971021246167084E-02,-1.013382996729560E+00,-1.031765261050219E-04
2434929.5,1954-Jul-06,-9.441059206404674E-01,-1.885398936681652E-02,1.521842394134361E-02,2.465154587998392E-01,-9.863497465122022E-01,-9.877973028200547E-05
2434939.5,1954-Jul-16,-9.135623803780358E-01,-1.994425175303303E-01,1.515047818334453E-02,4.063947746182153E-01,-9.316050998945427E-01,-9.161495280052611E-05
2434949.5,1954-Jul-26,-8.500925048821214E-01,-3.728138201347543E-01,1.453643144279549E-02,5.548451681841792E-01,-8.506644349752110E-01,-8.187881661949053E-05
2434959.5,1954-Aug-05,-7.553095919944965E-01,-5.324307111883839E-01,1.338689331102330E-02,6.876560473913651E-01,-7.457504671936810E-01,-6.983774541667389E-05
2434969.5,1954-Aug-15,-6.323293888652453E-01,-6.721586257792572E-01,1.173756540810217E-02,8.010142765397084E-01,-6.197457348520898E-01,-5.582564745576867E-05
2434979.5,1954-Aug-25,-4.856393907298797E-01,-7.866847131033414E-01,9.648123996931665E-03,8.916042249716644E-01,-4.761309403949457E-01,-4.023436119634870E-05
2434989.5,1954-Sep-04,-3.208265423129678E-01,-8.718761497596281E-01,7.198686791685082E-03,9.567012576171090E-01,-3.189087032099718E-01,-2.349928305619313E-05
2434999.5,1954-Sep-14,-1.441992465613561E-01,-9.250231500771401E-01,4.484302452041156E-03,9.942566943399476E-01,-1.525122478727678E-01,-6.093097519104440E-06
2435009.5,1954-Sep-24,3.763866122976946E-02,-9.449360534010947E-01,1.608327704207472E-03,1.002971504662603E+00,1.830125134384828E-02,1.148270761971106E-05
2435019.5,1954-Oct-04,2.181992018424909E-01,-9.318971304444049E-01,-1.324296197561853E-03,9.823554074637395E-01,1.885722733410329E-01,2.871009364499582E-05
2435029.5,1954-Oct-14,3.914556591777523E-01,-8.874949497916574E-01,-4.212981899242334E-03,9.327676031313785E-01,3.532742543068055E-01,4.506765677842607E-05
2435039.5,1954-Oct-24,5.520927254329784E-01,-8.143845134303490E-01,-6.966078192709244E-03,8.554351437753206E-01,5.074602260646912E-01,6.004507651330445E-05
2435049.5,1954-Nov-03,6.956551312736247E-01,-7.160182095521065E-01,-9.503891462306490E-03,7.524451069312414E-01,6.464171279493066E-01,7.315979386716981E-05
2435059.5,1954-Nov-13,8.186062083107760E-01,-5.963843654709482E-01,-1.176024137190725E-02,6.267073471313710E-01,7.658227542952318E-01,8.398182227848427E-05
2435069.5,1954-Nov-23,9.183173495987819E-01,-4.597773869546606E-01,-1.368282482191923E-02,4.818857088314510E-01,8.618989765259997E-01,9.217397942222213E-05
2435079.5,1954-Dec-03,9.930116635191459E-01,-3.106110540264953E-01,-1.523274400456456E-02,3.222972736430320E-01,9.315536693675414E-01,9.750961955992709E-05
2435089.5,1954-Dec-13,1.041682722530257E+00,-1.532767361586683E-01,-1.638353643962083E-02,1.527812539686081E-01,9.725033731000732E-01,9.984701491275995E-05
2435099.5,1954-Dec-23,1.064004396065634E+00,7.957815804310552E-03,-1.711996396043972E-02,-2.145863332571239E-02,9.833691665876044E-01,9.911806468556525E-05
2435109.5,1955-Jan-02,1.060242721164148E+00,1.690163063725663E-01,-1.743675463995500E-02,-1.950319477706735E-01,9.637391309074207E-01,9.533935770779671E-05
2435119.5,1955-Jan-12,1.031176438733403E+00,3.260563973796619E-01,-1.733742475454232E-02,-3.625511545216877E-01,9.141924316569879E-01,8.862155519476990E-05
2435129.5,1955-Jan-22,9.780295148531505E-01,4.754944744322838E-01,-1.683325231804353E-02,-5.188235142305159E-01,8.362825193526551E-01,7.917025054604379E-05
