Name,H,a,e,i,Omega,peri,M,n,Epoch
(4902) Thessandrus,9.88,5.2024142,0.0440264,9.07541,170.27827,271.72666,352.92474,0.08306091,2023.150684931507
(4946) Askalaphus,10.23,5.3211745,0.0486232,21.85488,59.04308,205.76679,164.86306,0.0802958,2023.150684931507
(5012) Eurymedon,10.66,5.2644918,0.0862192,4.99454,34.77398,335.46111,61.61022,0.0815961,2023.150684931507
(5023) Agapenor,10.48,5.1622891,0.0524653,11.79026,308.32579,87.95494,31.89979,0.08403121,2023.150684931507
(5025) Mecisteus,10.45,5.191846,0.0761905,11.02974,347.76136,74.66761,10.19074,0.08331465,2023.150684931507
(5027) Androgeos,9.74,5.3009751,0.0667884,31.44828,78.21595,345.75482,4.28526,0.08075519,2023.150684931507
(5028) Halaesus,10.28,5.2592776,0.131393,21.48107,44.01136,12.15568,19.02727,0.08171747,2023.150684931507
(5041) Theotes,10.89,5.1992246,0.0359055,10.57711,29.88006,103.32669,325.68414,0.08313735,2023.150684931507
(5119) Imbrius,10.42,5.199391,0.1102382,15.95196,316.98888,16.97861,344.5131,0.08313336,2023.150684931507
(5120) Bitias,10.46,5.2649655,0.1121149,25.01097,295.90003,24.37864,344.28632,0.08158509,2023.150684931507
(5123) Cynus,10.15,5.2239747,0.1034696,8.52978,78.17798,32.82366,321.23704,0.08254723,2023.150684931507
(5126) Achaemenides,10.62,5.2470028,0.0266177,29.85975,116.5067,350.77409,330.56271,0.0820044,2023.150684931507
(5130) Ilioneus,9.87,5.1948327,0.0121725,15.75244,242.52854,108.98129,300.13259,0.08324281,2023.150684931507
(5144) Achates,9.15,5.1836554,0.2729128,8.91722,322.81348,331.88108,5.0772,0.08351219,2023.150684931507
(5209) Oloosson,10.38,5.2080985,0.0519632,9.04326,322.70622,105.04245,38.46168,0.08292496,2023.150684931507
(5233) Nastes,11.62,5.1504258,0.0441798,3.37829,142.50555,47.24255,127.35499,0.0843217,2023.150684931507
(5244) Amphilochos,10.61,5.18322,0.0284704,6.15077,213.28522,129.55671,104.98351,0.08352272,2023.150684931507
(5254) Ulysses,9.24,5.2236344,0.1225306,24.19858,75.99468,344.42227,9.10683,0.08255529,2023.150684931507
(5257) Laogonus,12.04,5.1594152,0.031592,2.87052,126.99044,90.00432,90.80668,0.08410143,2023.150684931507
(5258) Rhoeo,10.33,5.1600656,0.0786687,5.92546,248.01453,231.17353,306.59118,0.08408552,2023.150684931507
(5259) Epeigeus,10.44,5.2122164,0.0715406,15.90948,67.47659,201.12233,175.57809,0.08282671,2023.150684931507
(5264) Telephus,9.48,5.2098938,0.1125657,33.57462,121.90084,359.24832,317.12503,0.0828821,2023.150684931507
(5283) Pyrrhus,9.81,5.1948888,0.1504625,17.47954,71.1199,357.01463,8.90958,0.08324146,2023.150684931507
(5284) Orsilocus,10.16,5.2260729,0.084819,20.22392,102.74683,343.58953,352.18557,0.08249752,2023.150684931507
(5285) Krethon,10.18,5.1907015,0.0513597,25.15105,144.28145,257.8536,62.94188,0.0833422,2023.150684931507
(5436) Eumelos,10.52,5.2024907,0.0785879,7.43307,253.96843,221.05977,324.12809,0.08305908,2023.150684931507
(5476) Mulius,10.73,5.1154221,0.0753547,13.70343,198.52528,96.24437,28.26853,0.08518867,2023.150684931507
(5511) Cloanthus,10.41,5.2519612,0.1188399,11.16835,172.65886,121.98859,27.797,0.08188829,2023.150684931507
(5637) Gyas,11.7,5.1771887,0.1213432,22.42243,1.93574,331.25908,3.28297,0.08366871,2023.150684931507
(5638) Deikoon,10.63,5.2361823,0.1062889,10.91548,156.03013,92.9636,47.16035,0.08225872,2023.150684931507
(5648) Axius,9.88,5.141683,0.1668998,22.70784,71.04212,269.2147,329.78183,0.08453686,2023.150684931507
(5652) Amphimachus,10.22,5.2142499,0.077303,1.89829,281.6475,109.27309,50.85245,0.08277826,2023.150684931507
(5907) Rhigmus,11.25,5.1507122,0.0985354,1.9206,107.75334,142.60125,67.71195,0.08431467,2023.150684931507
(6002) Eetion,10.67,5.2253651,0.092493,15.55456,209.71454,158.79843,312.60524,0.08251428,2023.150684931507
(6090) Aulis,9.59,5.2981536,0.0578586,20.19968,328.46623,75.29624,20.42762,0.08081971,2023.150684931507
(6443) Harpalion,12.29,5.2371404,0.1269193,9.50125,168.17345,199.84241,302.13765,0.08223615,2023.150684931507
