# kind of model: King
#
# Model parameters:
# W_0: 8.0
# limiting radius: 68.1929
# core radius: 0.966644
# concentration: 1.83374
# half-light radius: 5.0244
# half-mass radius: 6.87239
# central log slope: 0
# M_BH/M: 0
# ----------------------------
# r= radius (arbitrary units. r_king=1)
# the following quantities are normalised to their central value
# s= surface density
# sigma_p = line-of-sight velocity dispersion
# rho = 3D volume density
#
r s sigma_p rho
0.45950872506 0.8188904172398 0.99665887687335 0.7470953497613
0.49411941348 0.79609134771105 0.99599455398984 0.71688474862743
0.531336174124 0.7711995591619 0.99522036627088 0.6843249626425
0.571356202368 0.74422136129795 0.99432193887819 0.64954191594983
0.614391193248 0.7152072317639 0.99328592374764 0.61273848633583
0.66066734146 0.68427495173075 0.99209589249264 0.57420429933008
0.710429207936 0.65159067677902 0.99072206866244 0.53431432904818
0.7639387532 0.61738786601551 0.98914186322547 0.49349391926304
0.8214782373 0.58196517883809 0.98734706198841 0.45223977076209
0.883352153096 0.54566333934859 0.9852894065656 0.41111294556159
0.949886259616 0.50886513635274 0.98295144179628 0.37064512337768
1.02143338192 0.47198070071384 0.98030544477803 0.33137917718366
1.09836857788 0.43542436976557 0.97731034454434 0.29381740439559
1.1810939714 0.39959365496006 0.97394765916026 0.25837675384348
1.27005421872 0.36486293216225 0.97017426411096 0.22540701481428
1.36571330896 0.3315539963572 0.96595627584904 0.19514324570879
1.46858356344 0.29993395841483 0.96128856050369 0.16771976561319
1.57919663636 0.27020893538441 0.95610335098016 0.14318834334197
1.69814218056 0.24251143108329 0.9503903795368 0.12148657648632
1.82604851464 0.21692136844895 0.94415888714109 0.10249567660441
1.96358262296 0.19345452174535 0.93733905314994 0.086049983489946
2.11147915496 0.17207555662119 0.92992060982171 0.071926191662143
2.27052109228 0.15271443534445 0.92190047683392 0.059892880528769
2.44153974876 0.13527272650791 0.91330535031481 0.049712053458996
2.62543410332 0.11962886311725 0.90411161445862 0.041154948259169
2.8231804664 0.10564697617876 0.89429668023378 0.033997979617079
3.03582281352 0.093187200551889 0.88386773505941 0.028036171010583
3.26448245172 0.082110512390159 0.87283504667715 0.023087771926192
3.510367686 0.072282304640999 0.86121401669945 0.018991879291915
3.77476415288 0.063574279957431 0.84902210028709 0.015609416887267
4.0590831526 0.055867395227339 0.83628188647163 0.012820896691833
4.36481331692 0.049051440926433 0.82301904460718 0.010524753888258
4.69356894132 0.043027565000484 0.80928183307938 0.0086357098483873
5.047089985 0.037705748983086 0.7950907873715 0.0070831071362611
5.42724207088 0.03300438734862 0.78042845232277 0.0058075655225292
5.83602615204 0.02885133912985 0.76531536341645 0.0047592190464464
6.27558817816 0.025183086623845 0.74977513645829 0.0038976040833002
6.74826742772 0.021943683774382 0.73382522660906 0.003189434684546
7.2565481758 0.019083662489642 0.71748822290035 0.0026073713195171
7.80311769272 0.016559822318691 0.70078055371877 0.0021289715075638
8.39084691116 0.014333863348603 0.68372275454758 0.0017358083490505
9.0228484248 0.012372217945644 0.66632920022507 0.0014127849383531
9.7024958212 0.010645314622953 0.648617345912 0.0011475117389285
10.4332786852 0.0091270732640948 0.63060361999499 0.00092979589095529
11.2190635928 0.0077945265407249 0.61230239731232 0.00075127463216159
12.0641037776 0.0066272941037905 0.59373215979892 0.0006050697060091
12.9727491376 0.0056073722600103 0.57491138938973 0.00048551452604951
13.9499295572 0.0047187553895402 0.55586678221299 0.00038793590740938
15.0005749208 0.0039472466548044 0.53664454310603 0.00030848057130385
16.130388428 0.0032805000652003 0.51743257174071 0.00024395983859323
17.3453632716 0.0027068426653879 0.49806761102509 0.00019196016319769
18.651879302 0.0022150221470666 0.47849113483188 0.00015007639398027
20.0567030272 0.0017956012939103 0.45869698251609 0.00011644611286161
21.5673742704 0.0014402029201317 0.43867693988443 8.957627924938E-5
23.1918195124 0.0011412785146112 0.41841765887277 6.8231437382121E-5
24.9386418848 0.00089199256296035 0.39790065754617 5.1388523553411E-5
26.8170245056 0.00068614262458514 0.37710540042139 3.8200488026013E-5
28.836923808 0.00051811306151122 0.35600211104768 2.7967332478915E-5
31.0088762116 0.00038279721868178 0.33455690587767 2.0111065094387E-5
33.3444814444 0.00027557008189998 0.31272563362234 1.4155272863627E-5
35.8560158852 0.00019223128015513 0.29045387525105 9.7082197684115E-6
38.5567225568 0.00012897963647683 0.26766462270157 6.4487712601929E-6
41.460811126 8.2372996142667E-5 0.24424287726763 4.1141236519121E-6
44.5836512324 4.9306353032234E-5 0.21998533766495 2.4900799758226E-6
47.941675824 2.6990396628093E-5 0.19444843745508 1.4027249984609E-6
51.5526711504 1.293927118694E-5 0.16635384280498 7.114644138371E-7
55.435583434 4.9687248926298E-6 0.12997523420719 3.0336665192888E-7
59.611002192 1.2811520681112E-6 0.092554757866117 8.8567766777293E-8
64.1009669076 1.5773086161133E-7 0 1.2189778877204E-8
68.9290636944 0 0 0
74.120811954 0 0 0
79.7035677116 0 0 0
85.7068136092 0 0 0
92.1623522344 0 0 0
99.104209456 0 0 0
